id,name,timestamp
1,btcusd,2020-05-21 13:25:25.076013
2,ltcusd,2020-05-21 13:25:25.076013
3,ltcbtc,2020-05-21 13:25:25.076013
4,ethusd,2020-05-21 13:25:25.076013
5,ethbtc,2020-05-21 13:25:25.076013
6,etcbtc,2020-05-21 13:25:25.076013
7,etcusd,2020-05-21 13:25:25.076013
8,bfxbtc,2020-05-21 13:25:25.076013
9,bfxusd,2020-05-21 13:25:25.076013
10,bccusd,2020-05-21 13:25:25.076013
11,bccbtc,2020-05-21 13:25:25.076013
12,bcuusd,2020-05-21 13:25:25.076013
13,bcubtc,2020-05-21 13:25:25.076013
14,eosbtc,2020-05-21 13:25:25.076013
15,eosusd,2020-05-21 13:25:25.076013
16,eoseth,2020-05-21 13:25:25.076013
17,iotabtc,2020-05-21 13:25:25.076013
18,iotausd,2020-05-21 13:25:25.076013
19,iotaeth,2020-05-21 13:25:25.076013
20,zecusd,2020-05-21 13:25:25.076013
21,zecbtc,2020-05-21 13:25:25.076013
22,dashusd,2020-05-21 13:25:25.076013
23,dashbtc,2020-05-21 13:25:25.076013
24,xrpbtc,2020-05-21 13:25:25.076013
25,xrpusd,2020-05-21 13:25:25.076013
26,xmrbtc,2020-05-21 13:25:25.076013
27,xmrusd,2020-05-21 13:25:25.076013
28,omgbtc,2020-05-21 13:25:25.076013
29,omgusd,2020-05-21 13:25:25.076013
30,omgeth,2020-05-21 13:25:25.076013
31,bcheth,2020-05-21 13:25:25.076013
32,neobtc,2020-05-21 13:25:25.076013
33,neousd,2020-05-21 13:25:25.076013
34,neoeth,2020-05-21 13:25:25.076013
35,sanbtc,2020-05-21 13:25:25.076013
36,saneth,2020-05-21 13:25:25.076013
37,sanusd,2020-05-21 13:25:25.076013
38,avtusd,2020-05-21 13:25:25.076013
39,avtbtc,2020-05-21 13:25:25.076013
40,avteth,2020-05-21 13:25:25.076013
41,qtumusd,2020-05-21 13:25:25.076013
42,qtumeth,2020-05-21 13:25:25.076013
43,qtumbtc,2020-05-21 13:25:25.076013
44,bt1usd,2020-05-21 13:25:25.076013
45,bt1btc,2020-05-21 13:25:25.076013
46,edousd,2020-05-21 13:25:25.076013
47,bt2usd,2020-05-21 13:25:25.076013
48,bt2btc,2020-05-21 13:25:25.076013
49,strbtc,2020-05-21 13:25:25.076013
50,etpusd,2020-05-21 13:25:25.076013
51,etpbtc,2020-05-21 13:25:25.076013
52,etpeth,2020-05-21 13:25:25.076013
53,edobtc,2020-05-21 13:25:25.076013
54,edoeth,2020-05-21 13:25:25.076013
55,btgusd,2020-05-21 13:25:25.076013
56,btgbtc,2020-05-21 13:25:25.076013
57,datausd,2020-05-21 13:25:25.076013
58,databtc,2020-05-21 13:25:25.076013
59,dataeth,2020-05-21 13:25:25.076013
60,datbtc,2020-05-21 13:25:25.076013
61,datusd,2020-05-21 13:25:25.076013
62,dateth,2020-05-21 13:25:25.076013
63,btceur,2020-05-21 13:25:25.076013
64,btcgbp,2020-05-21 13:25:25.076013
65,etheur,2020-05-21 13:25:25.076013
66,ltceur,2020-05-21 13:25:25.076013
67,xrpeur,2020-05-21 13:25:25.076013
68,eurusd,2020-05-21 13:25:25.076013
69,btcjpy,2020-05-21 13:25:25.076013
70,btccad,2020-05-21 13:25:25.076013
71,ltccad,2020-05-21 13:25:25.076013
72,ethcad,2020-05-21 13:25:25.076013
73,ethgbp,2020-05-21 13:25:25.076013
74,ethjpy,2020-05-21 13:25:25.076013
75,etceth,2020-05-21 13:25:25.076013
76,etceur,2020-05-21 13:25:25.076013
77,gnobtc,2020-05-21 13:25:25.076013
78,gnoeth,2020-05-21 13:25:25.076013
79,gnousd,2020-05-21 13:25:25.076013
